"Marca temporal","CONSENTIMIENTO INFORMADO: Otorgo mi consentimiento para que mis respuestas y la información vertida aquí pueda ser utilizada con fines científicos, académicos y de investigación, en pro de mejorar el proceso de enseñanza aprendizaje de los estudiantes, así mismo, expreso que acepto participar de manera libre y voluntaria en éste trabajo.","Grupo y Subgrupo","Sexo:","Edad (agregar solo el número, sin la palabra ""años""):","¿Participas en las sesiones de simulación del laboratorio o taller de fisiopatología?","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Experiencia en general]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de mi confianza]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación entre compañeros]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación con el docente]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades técnicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades clínicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi toma de decisiones]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi razonamiento]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi seguridad]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi pensamiento crítico]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi atención en clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi motivación para la clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi participación]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Trabajo en equipo]","¿Considera que la implementación de estrategias innovadoras, como la simulación, en el proceso de enseñanza-aprendizaje en medicina resulta positiva?","¿Porqué?","De manera breve indique ¿Cuál considera que sea el inconveniente más importante al tratar de implementar el aprendizaje basado en simulación?","¿Consideras que existe una diferencia positiva en la adquisición de conocimientos al implementar la simulación?","¿Consideras que tu promedio del curso podría mejorar al implementar la simulación?","¿Consideras apropiados, positivo y pertinente seguir empleado la simulación en los cursos?","¿Consideras que la retroalimentación posterior a la simulación es indispensable (debriefing) para el logro de los objetivos?","¿Los casos simulados son coherentes con las clases de teoría?","¿Que tan importante consideras que es la capacitación docente para el logro de los objetivos en la simulación?","Algún comentario que quiera agregar para la mejora de estas clases ","De manera general, ¿En base a qué seleccionas el lugar donde te sientas en el espacio de enseñanza (aula, salón, taller, laboratorio)?","En el espacio de enseñanza del curso de Fisiopatología, las sillas permiten estar de manera cercana a tus compañeros, ¿que te parece ésta situación?","Indica cuales son los aspectos que consideras que mejoran cuando te encuentras cerca de tus compañeros, en un espacio cercano, frente a frente o a lado tuyo, como en el caso del acomodo de las sillas en el curso de Fisiopatología (puedes seleccionar más de una y/o agregar las que desees)","Indica cuales son los aspectos negativos que consideras que se presentan cuando te encuentras cerca de tus compañeros en un espacio cercano en el aula, como en el caso acomodo de las sillas en el curso de Fisiopatología"
"2024/03/17 8:03:27 p. m. GMT-6","Acepto","443-1","Femenino","20","","5 Excelente","5 Excelente","4 Buena","4 Buena","3 Regular","3 Regular","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","3 Regular","4 Buena","Completamente de acuerdo","estoy de acuerdo ya que es una menera muy didactica de aprender en clase y em lo personal me acuerdo mas de las cosas","ninguno","De acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Concentración;Aprendizaje significativo;Compañerismo","me gusta la idea y pienso que nos integra mas al momento de aprender, lo unico que podria agregar es que no hay un lugar donde tomar notas, sin embargo, entiendo que esta planificado con el proposito de exposición"
"2024/03/17 8:16:38 p. m. GMT-6","Acepto","442 - 1","Masculino","22","","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque considero que leer la teoría esta bien, pero el hecho de representarlo en una dramatización nos hace tener una idea más completa de como actuar en un verdadero ambiente clínico.","Considero que las habilidades de cada quien para poder dramatizar.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Todo bien.","Donde no me cause estrés","No es un gran problema, simplemente no me gusta estar rodeado tan cerca de personar, pero se soluciona eligiendo mi asiento en un buen lugar.","Comunicación;Discusión grupal;Trabajo en equipo","Al tener esa cercanía, pueden haber más distracciones o simplemente sentirse un poco abrumado al estar rodeado tan cerca de personas"
"2024/03/17 8:45:09 p. m. GMT-6","Acepto","441-1","Femenino","22","","4 Buena","5 Excelente","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","De acuerdo","Esto nos ayuda a practicar como si fueran casos reales, poniéndonos en los diferentes papeles, de esta manera tenemos que estudiar a profundidad el tema y como es de una forma dinámica aprendes mejor. ","La confianza de expresarnos, ya que con los doctores de semestres pasados no la teníamos pero poco a poco se va tomando.","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Considero que hasta ahora se a hecho de una manera muy practica y nos a brindado la confianza para expresarnos de la manera que nos sentimos ","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación","No encuentro un aspecto negativo"
"2024/03/17 9:27:53 p. m. GMT-6","Acepto","422-2","Masculino","23","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","4 Buena","5 Excelente","Completamente de acuerdo","Te ayuda de cierta forma a entender un escenario real de el como ser médico ","Que a lo mejor no siempre se cuenta con las herramientas para hacer todo ","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Concentración;Discusión grupal","A veces no todos préstamos atención a todo en clase "
"2024/03/17 10:04:21 p. m. GMT-6","Acepto","443-2","Femenino","20","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","3 Regular","4 Buena","Completamente de acuerdo","Me gusta que es diferente a las demás clases, es más emocionante.","La docente de laboratorio ","Regular","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente en desacuerdo","Muy importante","Que cambien de docente de laboratorio y que todos los laboratorios de fisiopato los de el Dr. Ontiveros o alguien que este a su alcance. ","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Estado de ánimo;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Ni uno"
"2024/03/17 10:12:14 p. m. GMT-6","Acepto","443-1","Femenino","21","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","De acuerdo",".",".
","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Importante","","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Estado de ánimo;Empatía;Compañerismo;Discusión grupal;Participación","Ninguna"
"2024/03/17 10:25:32 p. m. GMT-6","Acepto","A+","Masculino","31","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","Completamente de acuerdo","Porque nos prepara para conocer nuestras capacidades previamente a la atención que brindaremos a los pacientes","El costo y mantenimiento de equipos de simulación avanzada, por lo que consideró importante el uso adecuado del equipo biomédico.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","la mayoría de los compañeros estamos muy agradecidos por la oportunidad de participar en las simulaciones, además de la buena capacitación del docente, alguna sugerencia seria implementar la rotación de equipos  o integrantes a la hora de participar","Donde están mis amigos","Buena estrategia","Estado de ánimo;Compañerismo;Discusión grupal;Participación","dificultad al momento de tomar notas, poco espacio para mochilas y accesorios (en el suelo, que dificultan la marcha), recomendaría solo llevar lo necesario o dejar mochilas a fuera"
"2024/03/17 10:36:39 p. m. GMT-6","Acepto","442-1","Femenino","21","","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","Completamente de acuerdo","Nos ayuda a crear escenarios en los que estaremos en un futuro con pacientes de verdad, mejora nuestra confianza y seguridad al estudiar untaos clínico y descubrir el diagnóstico, además nos ayuda a mejorar nuestro interrogatorio de la historia clínica, exploración física, etc. ","Personalmente, la vergüenza, siento que me falta desenvolverme más en la simulación pero me da pena equivocarme o así. También la falta de instrumentos, pero eso poco a poco lo va resolviendo el dr y la universidad :)","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","no se me ocurre nada, pero confío en el trabajo que está haciendo el Dr y sé que logrará su objetivo","Donde escucho o veo mejor","Buena estrategia","Comunicación;Motivación;Estado de ánimo;Compañerismo;Discusión grupal;Participación","Si como algo mis amigos se distraen porq me piden comida, tmb que trato de no moverme mucho para no llamar la atención, no me salgo del aula porq no quiero interrumpir la clase:("
"2024/03/17 10:40:55 p. m. GMT-6","Acepto","443-2","Femenino","22","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","nos facilita el poder poner en práctica nuestros conocimientos  y el poder expandir nuestra lógica","que no a todos nos toca usted para laboratorios, sin embargo para los otros compañeros es muy buena alternativa.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","súper buenas clases, nos motiva a seguir con la carrera, triste que no me da lab pero en teoría doy mi 101%","Para estar cerca del docente","Excelente idea, me encanta","Confianza;Comunicación;Estado de ánimo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","la verdad, ninguna"
"2024/03/17 11:44:45 p. m. GMT-6","Acepto","441-2","Femenino","19","","3 Regular","2 Mala","2 Mala","5 Excelente","3 Regular","3 Regular","3 Regular","4 Buena","2 Mala","2 Mala","5 Excelente","3 Regular","2 Mala","3 Regular","Completamente de acuerdo","Me permite pensar en la manera de abordar una situación pensando en los detalle, enfocándome más en la experiencia del paciente y el nivel que llevo de manera individual y grupal. Me permite ver el abordaje desde una perspectiva más activa qué pasiva.","Se me dificulta mucho adaptarme al espacio y la dinámica. Me gustaría saber la manera en la que lo abordaría el doctor al final de las prácticas, y con énfasis en los exámenes de laboratorio.","Regular","En desacuerdo","Regular","Completamente de acuerdo","Completamente de acuerdo","Muy importante","No tengo nada más que agregar, solo que me gusta esta dinámica aunque no haya podido adaptarme al 100%. Es diferente y me ha hecho animarme a tomar roles con mayor carga y liderazgo aunque tenga dudas y cosas que mejorar, y aprecio mucho eso en mi crecimiento personal. 👍","Donde me concentro más","Excelente idea, me encanta","Comunicación;Concentración;Aprendizaje significativo;Discusión grupal;Participación","Ninguno"
"2024/03/18 12:01:03 a. m. GMT-6","Acepto","442 - 2","Masculino","20","","4 Buena","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","La simulacion nos acerca y nos prueba ante ambientes de la realidad, nos ayuda mucho.","Materiales para ejercer dicho aprendizaje de forma correcta.","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Importante","La simulacion es perfecta, te deja ser quien eres, simplemente hay que actuar como lo que realmente queremos desempeñarnos en un futuro.","Donde no me cause estrés","Buena estrategia","Confianza;Comunicación;Estado de ánimo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Realmente ninguno que destacar."
"2024/03/18 12:01:37 a. m. GMT-6","Acepto","441-3","Masculino","23","","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","3 Regular","3 Regular","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","3 Regular","Completamente de acuerdo","es mejor en el Apecto del desarrollo individual durante las clases y para una mejor comprension","el espacio y la cantidad de alumnos","De acuerdo","De acuerdo","Completamente de acuerdo","De acuerdo","De acuerdo","Muy importante","","Donde escucho o veo mejor","Me da igual","Concentración;Discusión grupal;Participación","ninguno"
"2024/03/18 12:03:35 a. m. GMT-6","Acepto","441-3","Femenino","19","","5 Excelente","3 Regular","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","5 Excelente","5 Excelente","2 Mala","5 Excelente","De acuerdo","Porque ayuda a complementar al estudio autodidáctico y así no existe la mentalidad de ""sólo estamos para responder sus dudas"".","
No instruir al personal y a los clientes sobre la manera de mantenerlo, si existe la posibilidad de obtenerlo, puede llevar a problemas, ya que se puede contar con equipos de simulación avanzados pero si no se brinda la educación necesaria sobre la importancia de su mantenimiento y uso adecuado, se corre el riesgo de subutilizarlos o incluso dañarlos, lo que afectaría negativamente la implementación efectiva del aprendizaje basado en simulación.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Hasta el momento sería implementar la simulación, porque el Dr. Ontiveros es excelente docente.","Donde pueda ver el docente y la presentación, a veces no se puede ambas y escojo la 1ra.","Buena estrategia","Concentración;Aprendizaje significativo;Compañerismo;Discusión grupal","Hasta el momento ninguno."
"2024/03/18 1:17:02 a. m. GMT-6","Acepto","443-2","Masculino","24","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Por qué se comprenden mejor los temas, hablando en el aspecto de simulación ","La falta de equipamiento, insumos, maniquíes, material, etc. ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde me concentro más","Me da igual","Concentración;Compañerismo;Participación","No le encuentro aspectos negativos "
"2024/03/18 1:21:40 a. m. GMT-6","Acepto","441-2","Femenino","22","","4 Buena","3 Regular","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","5 Excelente","3 Regular","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Al ser una simulación tan real puedes darte una idea de lo que será a futuro ","La confianza/el trabajo en equipo ","De acuerdo","De acuerdo","De acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","","Donde escucho o veo mejor","Me da igual","Comunicación;Discusión grupal","El no poder tomar apuntes de forma cómoda "
"2024/03/18 4:28:03 a. m. GMT-6","Acepto","441-3","Masculino","21","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","Completamente de acuerdo","cambias totalmente la estrategia de enseñanza ,dejando atras las clases de siempre ahora la clase es mas entretenida ,te deja con ganas de aprender mas y con el animo de ir mas alla.","compañeros desinteresados ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","de mis favoritas hasta el momento ,desde que entre a la carrera no habia estado en alguna clase que me hiciera sentir con esa motivacion de seguir y seguir con temas","Donde escucho o veo mejor","excelente dinamica de acomodar las sillas de dif manera te mantiene estar atento  a la clase y aquellas personas introvertidas les ayuda a perder ese miedo de participar","Confianza;Comunicación;Motivación;Concentración;Aprendizaje significativo;Discusión grupal;Participación","que si no tienes una buena relacion con cierto compañero se puede volver incomodo "
"2024/03/18 9:57:53 a. m. GMT-6","Acepto","443-2","Femenino","19","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","De acuerdo","Agiliza mis habilidades de razonamiento ","Ninguno","Completamente de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy importante","Ninguno","Donde no me cause estrés","Me da igual","Estado de ánimo;Aprendizaje significativo;Empatía;Participación","Distracción "
"2024/03/18 12:00:12 p. m. GMT-6","Acepto","443-3","Masculino","19","","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","Completamente de acuerdo","El proceso de simulación es una experiencia que se puede asimilar a lo que se puede ver en la realidad en el ámbito laboral, con la oportunidad de poder realizar la simulación una y otra vez para que todo salga bien","Que puede ser expensivo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Regular","Muy importante","","Donde no me cause estrés","Buena estrategia","Comunicación;Concentración;Estado de ánimo;Empatía;Trabajo en equipo","distracciones"
"2024/03/18 2:50:41 p. m. GMT-6","Acepto","441-1","Masculino","23","","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","Completamente de acuerdo","abre un mejor canal de comunicacion entre docente y alumno. Poder equivocarnos sin tenerle miedo a la respuesta del docente, hace que haya mayor apertura, de parte del alumnado, para aprender mas y por cuenta propia. ya que al no haber ese miedo a equivocarse crece el interes de seguir el dialogo del tema visto en clase con mayor interes.","que los alumnos tengan lugares ya fijos, por sigo mismos. creo que seria mas conveniente rotar a los alumnos de sus lugares de preferencia para formar una mejor camarería en el salon ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Este tipo de simulacros no solo ayudan al aprendizaje sino al camino de maduracion de un alumno de medicina hacia medico. Practicas como estas ponen en exhibicion lo ya aprendido en clase y da apertura hacia la autocritica de alumno. Gracias este tipo de aprendizaje he vuelto a repasar conocimientos pasados para un mejor entendimiento de las clases ya que cautiva mas y mas mi interes por entender mejor mi carrera","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Motivación;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","me gusta el cambio de acomodo pero deberia buscarse una alternativa"
"2024/03/18 3:26:06 p. m. GMT-6","Acepto","443-3","Femenino","23","","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque representan situaciones para las que claramente debemos tener cierta preparación, y en una simulación es una de las mejores formas de aprender ","Tal vez que no abarca todas las posibles circustancias","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Comunicación;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación","El espacio del aula puede estar un poco reducido"
"2024/03/18 4:03:12 p. m. GMT-6","Acepto","441-1","Masculino","20","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","5 Excelente","Completamente de acuerdo","Estrategias nuevas a yuda a mejorar el aprenzisaje ya que captan mejor la atención de los estudiantes y aprenden de una mejor manera ","Conseguir el material adecuado para captar la atencion de los estudiantes ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Estado de ánimo;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","El espacio a veces es reducido "
"2024/03/18 4:04:22 p. m. GMT-6","Acepto","442-2","Masculino","20","","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Estar bajo una simulación estimula el razonamiento y desarrollando el pensamiento clínico, me parece una excelente estrategia de aprendizaje ","Ninguna ","Completamente de acuerdo","Regular","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Un poco más de retroalimentación después de terminar la simulación ","Donde escucho o veo mejor","Excelente idea, me encanta","Confianza;Comunicación;Discusión grupal;Participación;Trabajo en equipo","Ninguno "
"2024/03/18 4:07:00 p. m. GMT-6","Acepto","441-1","Femenino","23","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Me da un amplio panorama con respecto a la resolución de problemas, diagnóstico, aplicación del conocimiento clínico y llevarlo a lo práctico.","En lo personal no veo problema alguno, creo que a nivel personal ayuda a mejorar nuestra confianza, tal vez pueda representar un problema a aquellas personas que no se sienten seguras al hablar en público ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Todo increíble, gracias. ","Donde puedo estar cerca del material y el docente para no perder mi atención e interactuar de manera directa para retener el conocimiento ","Excelente idea, me encanta","Confianza;Comunicación;Estado de ánimo;Aprendizaje significativo;Discusión grupal;Participación","Realmente no encuentro ninguno "
"2024/03/18 4:07:27 p. m. GMT-6","Acepto","441-2","Masculino","23","","5 Excelente","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","5 Excelente","Completamente de acuerdo","Si, ya que el hacerlo práctico mejora aún más nuestra confianza y que poco a poco vayamos trabajando en los nervios de cada uno así como el pensamiento de soluciones de manera rápida ","Los nervios de los alumnos ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Por el momento todo bien, solo falta que nosotros como alumnos aportemos más y que le demos la importancia debida ","Donde haya lugar ","Excelente idea, me encanta","Confianza;Comunicación;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal","Por el momento solo que aveces es muy estrecho "
"2024/03/18 4:07:27 p. m. GMT-6","Acepto","441-3","Masculino","30","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque integre lo estudiado con lo visto en clase ","Equipo ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde están mis amigos","Excelente idea, me encanta","Confianza;Motivación;Concentración","Ninguno "
"2024/03/18 4:12:23 p. m. GMT-6","Acepto","441-1","Masculino","20","","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","3 Regular","4 Buena","4 Buena","3 Regular","4 Buena","De acuerdo","No solamente se menciono toda la teoría, se está llevando un proceso de práctica que hace que puedas relacionar todo lo estudiado y ver además situaciones o inconvenientes que o siempre se mencionan al estarlo dialogando o estarlo estudiando","La adaptación y que funcione todo correctamente siempre, somos conscientes que no siempre todo queda en manos de los alumnos o el docente, si hay simulación es porque se utilizará herramientas especificas para ello y no siempre llegan a funcionar correctamente o por completo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Importante","","Donde no me cause estrés","Me da igual","Comunicación;Compañerismo;Discusión grupal","Personalmente tengo que estar haciendo algo todo el tiempo para poder concentrarme, el tener a mis compañeros a un lado del otro no causa distracciones propias, ellos en ningún momento son culpables de mis distracciones"
"2024/03/18 4:12:25 p. m. GMT-6","Acepto","441-1","Masculino","22","","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","2 Mala","3 Regular","3 Regular","3 Regular","2 Mala","2 Mala","De acuerdo","Se trabaja en situaciones cotidianas ","Mas herramientas ","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Completamente de acuerdo","Muy importante","","Donde no me cause estrés","Me da igual","Comunicación;Empatía;Discusión grupal;Participación;Trabajo en equipo","Puede causar incomodidad "
"2024/03/18 4:22:59 p. m. GMT-6","Acepto","441-2","Masculino","22","","5 Excelente","4 Buena","5 Excelente","5 Excelente","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","3 Regular","3 Regular","4 Buena","Completamente de acuerdo","Es  muy bueno debido a que de cierta manera reta a los alumnos a estudiar e investigar para tener un mejor deomino del tema a la hora de la simulacion","Dar el ""empujon"" de confianza a nuestros compañeros para que den lo mejor de si y no se cohiban a la hora de la simulacion","Completamente de acuerdo","Regular","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Desde mi persona todo esta muy bien, pero se que hay que trasbajar con la confianza de algunos compañeros","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Estado de ánimo;Compañerismo;Discusión grupal;Participación","Pues respecto a mis compañeros cerca no tengo ningun problema, al contrario, mi unico incoveniente seria que las sillas no tienen donde escribir y de cierta forma eso me desconcentra un poco, pero nada a lo que no pueda adaptar"
"2024/03/18 4:47:11 p. m. GMT-6","Acepto","441-3","Masculino","22","","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Personalmente me ayuda a mantener la atención y hace más amena la clase","Recursos escolares","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Dónde me permite ver todo lo que sucede en la sala sin tener que voltear hacia atras","Me parece bien, aunque me dí cuenta que casi no hago apuntes, el método me invita a no hacerlo","Confianza;Comunicación;Estado de ánimo;Discusión grupal","Cierta distracción por la misma cercanía a los compañeros"
